post_text,post_id,post_url,shares,text_length,post_timestamp,is_time_estimated,hashtags,post_time_raw,likes,validation_status,comments,query,author_name
"A imagem final do personagem Carlitos no clássico mudo de 1940 é considerada por muitos, até hoje, o melhor final de um filme da história do cinema: ""Chaplin sabia que a simplicidade é algo muito difícil de alcançar.""",f74dc2dbdb4132d6,https://web.facebook.com/bbcnewsbrasil/posts/pfbid02bAg9iYZZ5ShaVKWX9kEHfvkdczpynfWmUYS7ENicz8brZZ14z7NCkZDH5SMkhRs4l,11,217,2026-02-08T21:44:31.576015,False,[],18h,0,VALID,"[{'user_name': 'Raphael Souza', 'comment_text': 'E esquecemos do filme ""Tempos Modernos"", ""O Grande Ditador"" e todo o legado de Chaplin...'}]",profile: ,
"'Fizemos sexo em um hotel chinês e depois descobrimos que fomos gravados e vistos por milhares de pessoas' 
Eric e Emily estão entre os muitos hóspedes de hotel filmados sem saber por câmeras escondidas em quartos por toda a China.
Eric descobriu isso quando navegava por um canal de redes sociais que ele mesmo costumava acessar para consumir pornografia, quando, poucos segundos após o início de um vídeo, ele congelou.
Ele percebeu que o casal que observava — entrando no quarto, deixando as bolsas e, mais tarde, fazendo sexo — era ele mesmo e sua namorada, Emily (nome também fictício). Três semanas antes, eles haviam passado a noite em um hotel em Shenzhen, no sul da China, sem saber que não estavam sozinhos.
Uma investigação da BBC revelou a dimensão do comércio de “spycam porn”, pornografia com câmeras escondidas, ao se infiltrar, por mais de um ano, em uma rede que operava no Telegram e transmitia imagens de hóspedes de hotéis sem consentimento.
Veja mais no vídeo e também na reportagem em texto, no nosso site. Link na bio: @bbcbrasil
#BBCBrasil #China #CameraEscondida",b7348393acda7568,,31,1087,2026-02-08T19:44:51.699568,False,"['#BBCBrasil', '#China', '#CameraEscondida']",20h,0,VALID,"[{'user_name': 'Eros Romanelo', 'comment_text': 'Motel com espelho no quarto pode gravar tudo também.'}]",profile: ,
Será que é apego disfarçado de amizade? Especialistas indicam as quatro perguntas que você precisa fazer a si mesmo antes de decidir se deve manter amizade com seu ex ou cortar o contato por completo.,60d0e0390e54d9c5,https://web.facebook.com/bbcnewsbrasil/posts/pfbid0346GhsjA3g4snHA7ndhijoggzJKgdcvXLjkCwxxrhfQQL33vDis7Pogj2Y6cTmhvfl,8,200,2026-02-08T18:45:15.228587,False,[],21h,0,VALID,"[{'user_name': 'Rafael Mendes', 'comment_text': 'Eu só continuo a amizade se ela dá pra mim de vez em quando.'}]",profile: ,
"Portugal ainda é um dos poucos países em que existe uma direita democrática. Ela ficou fora do segundo turno, mas votou em um Socialista democrata e não em um projeto de ditador de extrema direita. Parabéns à direita portuguesa!",01014a0078e41bc3,https://web.facebook.com/bbcnewsbrasil/posts/pfbid0LsmjhX2JBnQnLLtbaLaYEUZHupdaSLK3UB5e6aXvQEGA1AiUvQxHjndjX5UtKw5Al,125,228,2026-02-08T17:45:41.362688,False,[],22h,0,VALID,"[{'user_name': 'James Moura Do O', 'comment_text': 'Portugal ainda é um dos poucos países em que existe uma direita democrática. Ela ficou fora do segundo turno, mas votou em um Socialista democrata e não em um projeto de ditador de extrema direita. Parabéns à direita portuguesa!'}]",profile: ,
"Após meses de uma relação conflituosa, presidentes dos EUA e Colômbia tiveram um encontro cordial, em que discutiram o combate ao tráfico de drogas e situação da Venezuela: https://bbc.in/4rrujQ8",ae4d9f386c4030c3,https://web.facebook.com/bbcnewsbrasil/posts/pfbid031r6L8usbDatr34PZcBXBDbaivbcPTHMmKS7oeoT9UHpznHT2fkdHVfteCVJMVRXsl,41,195,2026-02-08T16:46:07.909492,False,[],23h,0,VALID,"[{'user_name': 'https://bbc.in/4rrujQ8', 'comment_text': 'Após meses de uma relação conflituosa, presidentes dos EUA e Colômbia tiveram um encontro cordial, em que discutiram o combate ao tráfico de drogas e situação da Venezuela: https://bbc.in/4rrujQ8'}, {'user_name': 'Rosilda Donizeti Lima', 'comment_text': 'Estou confusa, o correto é?'}]",profile: ,
"Uma investigação realizada ao longo de um ano pelo Serviço Afegão da BBC identificou dois grupos distintos dentro da liderança do Talebã: um leal ao líder supremo Hibatullah Akhundzada na cidade de Kandahar e outro desafiando regras como proibir a internet, em Cabul",78182ed6d47b795b,https://web.facebook.com/bbcnewsbrasil/posts/pfbid02ebSNRQBNiAwVHH7AaB14NbHJhkVPTeuaCy8VuZquy7jjt6cfFrNM9b1jy2vfDXn4l,10,266,2026-02-08T16:46:33.740699,False,[],23h,0,VALID,"[{'user_name': 'Marcus Sughari', 'comment_text': 'Seja por tiranias, seja por leis em sociedades democráticas. Religiões sempre precisam da força de humanos para se impor porque seus deuses todo-poderosos são incapazes de fazer valer duas vontades.'}]",profile: ,
"Chefe de gabinete de Keir Starmer, Morgan McSweeney renunciou ao cargo ao assumir ""total responsabilidade"" por ter aconselhado o premiê a nomear Peter Mandelson como embaixador nos Estados Unidos no ano passado.",6b903849d6a35472,https://web.facebook.com/bbcnewsbrasil/posts/pfbid022S4KfAVfNbfGb9Xi9UCC5c6A6SpniCWhH5unfzVsLiGz9V86cczCPJhRZVRkoNd7l,7,211,2026-02-08T15:47:16.161706,False,[],1d,0,VALID,"[{'user_name': 'Rebeca Espinoza', 'comment_text': 'E é só o começo...'}]",profile: ,
"A disputa pela transformação do Copan em Airbnb 
Símbolo da maior cidade do Brasil com suas curvas, brises e cobogós, o edifício projetado pelo arquiteto Oscar Niemeyer tem se transformado pouco a pouco em um grande centro de hospedagem, o que se tornou alvo de uma disputa entre os donos e inquilinos de apartamentos dali — uma situação parecida, mas em dimensão bem maior, à de muitos outros edifícios em áreas turísticas das cidades brasileiras.
Dos 1.160 apartamentos do Copan, mais de 200 hoje já são destinados ao aluguel de curta temporada, especialmente pela plataforma Airbnb, a mais popular do gênero, segundo a administração do condomínio.
O repórter Vitor Tavares conta melhor este caso. Confira!
#BBCBrasil #Copan #Airbnb",062223bd944fe1ee,,53,734,2026-02-08T15:47:36.572858,False,"['#BBCBrasil', '#Copan', '#Airbnb']",1d,0,VALID,"[{'user_name': 'Josiane Simoes', 'comment_text': 'Absurdo é uma convenção do condomínio ser de 1970. É isso mesmo? Nunca foi feita nova convenção do condomínio?'}]",profile: ,
"Eu me importo. Tanto que não assisto vídeos nem escuto músicas no YouTube de menos de cinco anos para cá, exceto se conheço autor, procedência etc. Meu interesse por IA em música e audiovisual é zero. IA é ótimo pra compilar dados e ter respostas com rapidez. Pra mim para por aí.",124c26f1fad028b0,https://web.facebook.com/bbcnewsbrasil/posts/pfbid08JMjP8nfScfDsv9WeiFc6VbC4U55CjKkWXF8pSZXi5roMHBqUFtgETaZe8BBMEgLl,2,280,2026-02-08T15:48:03.069602,False,[],1d,0,VALID,"[{'user_name': 'Marcio Augusto Araújo', 'comment_text': 'Eu me importo. Tanto que não assisto vídeos nem escuto músicas no YouTube de menos de cinco anos para cá, exceto se conheço autor, procedência etc. Meu interesse por IA em música e audiovisual é zero. IA é ótimo pra compilar dados e ter respostas com rapidez. Pra mim para por aí.'}]",profile: ,
"De empacotador em Porto Rico a estrela global no Super Bowl. 
O cantor Bad Bunny fará história neste domingo (8/2) ao levar o espanhol e a cultura porto-riquenha ao evento esportivo mais importante dos EUA. 
Nascido em uma cidade pobre do território americano no Caribe, ele é hoje o artista mais ouvido do mundo no Spotify: https://bbc.in/3ZXpHpe",a975f77f7ef79675,https://web.facebook.com/bbcnewsbrasil/posts/pfbid036QGhhvwK74Xx3yY9PfcvqWNNyFcU6U4JJsMfWJHRX6uyRjczfDDMEpWpnURhQDuRl,19,347,2026-02-08T15:48:28.720174,False,[],1d,0,VALID,"[{'user_name': 'https://bbc.in/3ZXpHpe', 'comment_text': 'De empacotador em Porto Rico a estrela global no Super Bowl.'}, {'user_name': 'Raphael Souza', 'comment_text': 'Vamos ver a repercussão de sua performance no Brasil e nos EUA, no show do intervalo da NFL, que terá jogo nos Brasil, na cidade do Rio televisionada, na TV Paga, na TV aberta em melhores momentos...'}]",profile: ,
