query,channel_username,channel_title,message_id,chat_id,user_id,date,text,validation_status,post_link,caption,views,forwards,reactions,reply_to_message,forward_from,entities,photo,video,document,post_author,edit_date,media_group_id
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1455,1793892291,-1001793892291,2026-02-05T15:01:34Z,"Neste vídeo, **Frei Sérgio Görgen**, frade franciscano dedicado ao trabalho com os movimentos sociais, partilha a memória de um tempo difícil, quando o país atravessava uma terrível ditadura.  Frei Sérgio faleceu no último dia 3 de fevereiro, causando profunda consternação. Foi frade franciscano, líder religioso e militante das causas sociais e ambientais. Era reconhecido pela defesa da agroecologia e pelo trabalho junto às populações vulneráveis. Também foi deputado estadual pelo PT no Rio Grande do Sul e teve atuação marcante junto à agricultura familiar. Contribuiu para a fundação do Movimento dos Trabalhadores Rurais Sem Terra (MST) e do Movimento dos Pequenos Agricultores (MPA).  **Frei Sérgio, presente! Frei Sérgio, semente!**",VALID,https://t.me/ANAagroecologia/1455,,56,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=3, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,"[<telethon.tl.types.MessageEntityBold object at 0x000001DAE9632A10>, <telethon.tl.types.MessageEntityBold object at 0x000001DAE9632AD0>]",FALSE,TRUE,TRUE,,2026-02-05T16:07:17Z,
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1456,1793892291,-1001793892291,2026-02-06T12:40:05Z,"A reflexão da cientista **Lynn Margulis** sugere que a vida não existe de forma isolada, mas em redes de interdependência. Ela está falando de um viés biológico e também de um princípio político.   Nada vive sozinho, nada se sustenta sozinho. A Articulação Nacional de Agroecologia, por exemplo, é expressão concreta dessa ideia: uma rede que só existe porque é tecida por muitas outras redes de povos do campo, das cidades, das florestas e das águas, de mulheres, juventudes, povos indígenas e quilombolas, comunidades tradicionais, organizações e movimentos sociais.   Cada uma com sua história, seus saberes e suas lutas, mas todas conectadas por um projeto de bem viver.",VALID,https://t.me/ANAagroecologia/1456,,53,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=6, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,[<telethon.tl.types.MessageEntityBold object at 0x000001DAE9633CD0>],TRUE,FALSE,FALSE,,2026-02-06T12:41:10Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1545,1274109799,-1001274109799,2026-02-02T14:36:49Z,"O Brasil entrou em 2026 embalado. Teve Globo de Ouro com Agente Secreto, teve Grammy com Maria Bethânia e Caetano Veloso e seguimos sonhando com o Oscar.  Agora é foco no hexa da Copa do Mundo. E, em outubro, comemorar o tetra do Lula. 🇧🇷",FLAGGED,https://t.me/reginaldolopesmg/1545,,12,0,,,,,TRUE,FALSE,FALSE,,2026-02-02T14:36:53Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1546,1274109799,-1001274109799,2026-02-02T19:53:39Z,"Em visita à Santa Casa de Areado, anunciamos recursos importantes para fortalecer o atendimento à população, garantindo mais exames, mais estrutura e mais qualidade no cuidado com as famílias da cidade e da região.  São quase 20 novos equipamentos, com R$ 500 mil já destinados, e um compromisso firmado para o futuro: ampliar a Santa Casa com a construção de um segundo bloco. No total, serão R$ 2,5 milhões em investimentos, fruto do trabalho conjunto com o deputado estadual Luizinho, com planejamento, responsabilidade e foco em quem mais precisa.  Ao lado do vereador Ederson e da administradora Adriana, seguimos fortalecendo o SUS e investindo onde o cuidado acontece de verdade.  Parabéns à equipe da Santa Casa de Areado pela gestão séria, pelo acolhimento e pelo trabalho que faz a diferença na vida das pessoas. Seguimos juntos, trabalhando por mais saúde, mais estrutura e mais prosperidade para Minas Gerais. 💜✊  📍 Areado",FLAGGED,https://t.me/reginaldolopesmg/1546,,14,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,,FALSE,TRUE,TRUE,,2026-02-02T20:13:52Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1547,1274109799,-1001274109799,2026-02-03T12:26:20Z,"Ontem a Câmara aprovou a Medida Provisória que cria o programa Gás do Povo. É uma medida simples, mas com impacto enorme na vida real.   Gás de cozinha não é luxo. É segurança alimentar, é saúde pública e é dignidade. Quando a família tem como cozinhar, ela consegue preparar a comida com mais segurança, sem risco e sem precisar escolher entre comprar gás ou comprar alimento.   O foco é garantir o botijão de 13 kg de forma gratuita para famílias de baixa renda inscritas no CadÚnico, com prioridade para quem já está no Bolsa Família, e o texto segue agora para o Senado.",FLAGGED,https://t.me/reginaldolopesmg/1547,,9,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,,FALSE,TRUE,TRUE,,2026-02-03T12:29:25Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1548,1274109799,-1001274109799,2026-02-03T16:34:02Z,"No IFMG de Piumhi, um projeto financiado com nossas emendas virou referência internacional e foi premiado na COP-30. O IFMG Sustentável, por uma metamorfose social mostra que desenvolvimento de verdade é aquele que une educação, sustentabilidade e justiça social.  Aqui, pessoas privadas de liberdade participam da produção de alimentos orgânicos, que chegam às famílias atendidas pelo CRAS, às entidades sociais e a quem mais precisa. Ao mesmo tempo, o projeto recupera nascentes, distribui mudas nativas e forma consciência ambiental.  Foram R$ 300 mil em recursos que se multiplicaram em alimento saudável, dignidade e futuro.  Ao lado do deputado estadual Luizinho, da professora Laura, do diretor Humberto e de toda a equipe do IFMG, fica a certeza: proteger a vida, cuidar do planeta e combater desigualdades pode, e deve, andar junto.  Minas Gerais tem potência. E quando a política escolhe o caminho certo, ela transforma. 🌱💜",FLAGGED,https://t.me/reginaldolopesmg/1548,,9,0,,,,,FALSE,TRUE,TRUE,,2026-02-03T16:34:06Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1549,1274109799,-1001274109799,2026-02-03T17:42:27Z,"Na BR-146, no trecho de acesso a Guaxupé, a gente precisa de uma solução definitiva para reduzir os acidentes. Já conseguimos a instalação de um radar e agora já existe previsão de implantação de quebra molas. Além disso, estamos solicitando mais um radar em um ponto mais abaixo e também estudando a viabilidade de uma área de escape, porque não dá para aceitar que vidas continuem sendo colocadas em risco em um trecho que todo mundo sabe que é perigoso. É assim, rodando Minas, ouvindo de perto e transformando demanda em ação, que a gente vai construindo um Sul de Minas mais seguro e uma Minas Gerais melhor para todo mundo.  📍 Guaxupé",FLAGGED,https://t.me/reginaldolopesmg/1549,,9,1,,,,,FALSE,TRUE,TRUE,,2026-02-03T17:42:30Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1550,1274109799,-1001274109799,2026-02-03T19:38:13Z,"Nenhuma violência contra mulher é aceitável. Nenhuma.  O presidente Lula deixou claro: enfrentar o feminicídio é responsabilidade do Estado, mas também de toda a sociedade. Por isso, nasce o Pacto Brasil de Enfrentamento ao Feminicídio, unindo os três poderes para proteger vidas.  É lei, é justiça, é educação. Punir quem agride, educar os meninos e conscientizar os homens. Nada, absolutamente nada, justifica violência contra mulheres, nem na rua, nem em casa, nem na internet.  Seguimos juntos, ao lado do presidente Lula, para transformar indignação em política pública e salvar vidas.",FLAGGED,https://t.me/reginaldolopesmg/1550,,11,0,,,,,FALSE,TRUE,TRUE,,2026-02-03T19:38:16Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1551,1274109799,-1001274109799,2026-02-03T22:14:00Z,"A Câmara aprovou o projeto que cria mais professores e técnicos administrativos para os Institutos Federais. São mais de 16 mil profissionais fortalecendo a educação tecnológica e profissionalizante no Brasil.  Isso significa: ➡️ mais qualidade no ensino ➡️ mais oportunidades para a juventude ➡️ mais desenvolvimento para o país  O projeto segue para o Senado e abre caminho para a instalação de 100 novos IFs, sendo 8 em Minas Gerais. Educação não é gasto. É investimento no futuro.",FLAGGED,https://t.me/reginaldolopesmg/1551,,8,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👏'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,,FALSE,TRUE,TRUE,,2026-02-03T22:22:52Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1552,1274109799,-1001274109799,2026-02-04T12:46:33Z,"Em Paraguaçu, estamos construindo um Centro de Atendimento para Pessoas com Autismo para garantir acolhimento e atendimento especializado, com terapias, acompanhamento e uma rede de cuidado de verdade, perto de casa.  Esse trabalho só acontece porque tem parceria séria e compromisso com a vida real. Ao lado do deputado estadual Luizinho, da vereadora Vitoria e do líder Wagner, a gente está tirando do papel uma política pública de qualidade, feita para atender quem precisa e fazer inclusão de verdade.  E tem investimento garantido. Já destinamos R$ 500 mil para a construção. Neste ano, vamos entregar mais R$ 200 mil para finalizar a obra e, até o fim do ano, mais R$ 200 mil para assegurar o custeio do atendimento e o funcionamento do serviço.  E como o Wagner sempre fala: inclusão se faz com ação.  Vamos juntos!",FLAGGED,https://t.me/reginaldolopesmg/1552,,9,0,,,,,FALSE,TRUE,TRUE,,2026-02-04T12:46:36Z,
