title,description,publishedAt,channelId,channelTitle,videoId,viewCount,likeCount,commentCount,collectionDate,url,tags,validation_status
Esteja rodeado do que te faz feliz!,"Esteja sempre rodeado pelo que te faz feliz.” Aqui no MDA, isso é moleza. Pra muita gente, felicidade é comida da boa, café ...",2026-02-06T16:30:57Z,UCOa0S2a6MPUTe8YNWRZbY4g,TV MDA,_Xf2PtL9ke4,198,3,0,2026-02-09 18:48:10.260942,www.youtube.com/watch?v=_Xf2PtL9ke4,[],VALID
Faça parte do Pacto Nacional Brasil Contra o Feminicídio.,"Um pacto pela vida das mulheres. A sociedade e os três poderes da República unidos contra o feminicídio. Homem, seja um ...",2026-02-04T20:00:29Z,UCOa0S2a6MPUTe8YNWRZbY4g,TV MDA,fTRgCK04bvQ,229,10,0,2026-02-09 18:48:10.731608,www.youtube.com/watch?v=fTRgCK04bvQ,[],VALID
Faça parte do Pacto Nacional Brasil Contra o Feminicídio.,"Um pacto pela vida das mulheres. A sociedade e os três poderes da República unidos contra o feminicídio. Homem, seja um ...",2026-02-04T17:19:58Z,UCOa0S2a6MPUTe8YNWRZbY4g,TV MDA,ymrIr8tb9Fw,85,8,0,2026-02-09 18:48:11.176616,www.youtube.com/watch?v=ymrIr8tb9Fw,[],VALID
Entrega do Assentamento Elizabeth Teixeira,,2026-02-06T04:55:39Z,UCOa0S2a6MPUTe8YNWRZbY4g,TV MDA,0Fj_qQ3KWQc,353,15,0,2026-02-09 18:48:11.626713,www.youtube.com/watch?v=0Fj_qQ3KWQc,[],VALID
Recordes da justiça social,"O país subiu de nível. Nova fase desbloqueada: inclusão, oportunidade e recordes batidos. Olha aonde a gente chegou!",2026-02-04T11:01:24Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,m9OaquaI4Sc,1006677,642,-,2026-02-09 18:48:12.415144,www.youtube.com/watch?v=m9OaquaI4Sc,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
Saberes do Alimenta: Mudanças climáticas e Sistemas Alimentares  - 22/01/2026,Bem-vindo ao perfil do Canal MDS no YouTube. Aqui você acompanha as ações e notícias do Governo Federal.,2026-02-05T17:35:02Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,wSj0d-9XkBk,118,10,-,2026-02-09 18:48:12.863590,www.youtube.com/watch?v=wSj0d-9XkBk,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
Olha aonde a gente chegou,"Se você ainda não percebeu, o Brasil melhorou. Aperta o play e veja aonde a gente chegou!",2026-02-04T16:47:13Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,XSYp_VDORsU,75,5,-,2026-02-09 18:48:13.261101,www.youtube.com/watch?v=XSYp_VDORsU,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
1º Ciclo do ano de 2026 é o Protocolo Brasil sem Fome - 06/02/2026,Bem-vindo ao perfil do Canal MDS no YouTube. Aqui você acompanha as ações e notícias do Governo Federal.,2026-02-07T09:05:46Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,ZglKw9lBo2A,466,43,-,2026-02-09 18:48:13.768194,www.youtube.com/watch?v=ZglKw9lBo2A,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
Olha aonde a gente chegou,"Se você ainda não percebeu, o Brasil melhorou. Aperta o play e veja aonde a gente chegou!",2026-02-03T11:01:14Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,jWr8KXrap9k,2157174,33,-,2026-02-09 18:48:14.238314,www.youtube.com/watch?v=jWr8KXrap9k,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
Olha aonde a gente chegou,"Se você olhar bem, verá como o Brasil avançou no último ano. Assista e veja aonde o país chegou e para onde seguimos.",2026-02-03T13:23:57Z,UCoIynWfEJb3sLmlFc-YmpJQ,MDS,Pe9n6qiEPgc,214,3,-,2026-02-09 18:48:14.665516,www.youtube.com/watch?v=Pe9n6qiEPgc,"['Ministério', 'MDS', 'governo federal', 'Brasil', 'Desenvolvimento social', 'Combate à Fome', 'pobreza', 'superação da pobreza', 'Bolsa Famíllia', 'oportunidade', 'assistência social', 'segurança alimentar', 'inclusão']",PENDING
