post_description,post_validation_status,post_url,post_shares_count,post_time_raw,post_is_time_estimated,post_original_id,text_length,post_hashtags,post_likes_count,post_author_username,post_query,post_published_at,comments,
"Do milho e da mandioca ancestrais, passando pelas frutas, pelos peixes, pimentas, aromas, modos de preparo artesanais e sabores únicos. A diversidade está na raiz de nosso continente muito antes de qualquer “descobrimento”. 
 São várias as tentativas de homogeneizar nosso território. Mas seguimos soberanos na força da cultura, luta, alegria e gingado da nossa gente, como bem mostrou o rapper porto-riquenho Bad Bunny em sua icônica apresentação ontem (
 – cantada 100% em espanhol – no intervalo no Super Bowl, campeonato que coroa o campeão da temporada na principal liga de futebol “americano”.",VALID,NULL,1,15h,False,368893b719ed9205,1307,"{'#Anater', '#UniãoComMunicípios', '#ATER', '#AgriculturaFamiliar', '#Amazônia'}",0,Anater,profile: ANATER,2026-02-15T05:18:56.970,{},
"Na capital de Minas Gerais, 13% da população mora em favelas. O índice é superior aos 8% da média brasileira. O que torna o caso de Belo Horizonte representativo quando o assunto é acesso a alimentos saudáveis a moradores de favelas no país. 
 Os resultados reforçam: a insegurança alimentar é uma das faces da desigualdade social. 
 O Joio visitou três comunidades de BH, analisou as barreiras que dificultam o acesso dessa população a alimentos frescos e suas possíveis soluções na reportagem disponível em nosso site. Busque em ojoioeotrigo.com.br.",VALID,NULL,195,2d,False,a28645917659ad73,481,{},0,O Joio e o Trigo ,profile: O Joio e o Trigo ,2026-02-15T15:55:12.574,"{{'user_name': 'Ronaldo Vicente', 'comment_text': 'Chora não\nPezenti\ntirando vcs que não aceitaram a derrota o resto tá tudo bem, comenta aí pro povo saber as merdas que Bolsonaro fez, ou pra vc foi normal e correto as privatização, gasoduto, refinaria, autonomia ao banco central, que hoje pagamos um juro absurdo e isto eleva a dívida do país, a onde podíamos investir este dinheiro estamos pagando juros, mas pra vcs e normal né, de todas estas ações do Bolsonaro o prejudicado e o povo e o senhor vem com seus mimimi de carnaval'}, {'user_name': 'Pezenti', 'comment_text': 'Chora não\nPezenti\ntirando vcs que não aceitaram a derrota o resto tá tudo bem, comenta aí pro povo saber as merdas que Bolsonaro fez, ou pra vc foi normal e correto as privatização, gasoduto, refinaria, autonomia ao banco central, que hoje pagamos um juro absurdo e isto eleva a dívida do país, a onde podíamos investir este dinheiro estamos pagando juros, mas pra vcs e normal né, de todas estas ações do Bolsonaro o prejudicado e o povo e o senhor vem com seus mimimi de carnaval'}}",
"Tá por São Paulo neste final de semana? 
 Então, vem assistir a exibição de “Comida de Mentira” que rola no Sesc Consolação no amanhã, 25, às 14h. A sessão do documentário do Joio em parceria com o Coletivo Bodoque sobre a indústria dos ultraprocessados será seguida de um super bate-papo! 
 A programação é gratuita e a retirada dos ingressos inicia com 30 minutos antes da exibição. Mais detalhes no link: https://www.sescsp.org.br/.../comida-de-mentira-exibicao.../",VALID,NULL,4400,3d,False,f4d232028e90266f,103,{},0,O Joio e o Trigo ,profile: O Joio e o Trigo ,2026-02-14T15:55:32.558,"{{'user_name': 'Evaldo Kula', 'comment_text': 'Esse e o pai dos pobres, vagabundo comunista ladrão.'}}",
"Aproveito o carnaval para também descansar e cuidar dos meus bichos e da minha horta. Daqui, do Campo, desejo muita alegria e democracia para quem brinca o carnaval em todo o Brasil. Um grande abraço! #Carnaval #Soberania #Brasil #Agricultura",VALID,NULL,99,6d,False,a1f1b850240201dd,599,{},0,Elton Welter,profile: Elton Welter,2026-02-10T09:28:45.803,{},
Recursos e equipamentos para atender bem meus amigos de Boa Vista da Aparecida. Podem sempre contar com esse deputado que é um defensor da agricultura familiar e do desenvolvimento regional. #Paraná #AgriculturaFamiliar,VALID,NULL,30,1w,False,f5c3f5211e94c7ab,551,{},0,Elton Welter,profile: Elton Welter,2026-02-09T09:29:19.734,"{{'user_name': 'ojoioeotrigo.com.br.', 'comment_text': 'Na capital de Minas Gerais, 13% da população mora em favelas. O índice é superior aos 8% da média brasileira. O que torna o caso de Belo Horizonte representativo quando o assunto é acesso a alimentos saudáveis a moradores de favelas no país.'}, {'user_name': 'Gisele Montenegro', 'comment_text': 'QD fui pra outra cidade e tive que andar na estrada pra chegar no mercado lembrei das barracas de bambu que conheci no curso que fiz e pensei pq não tinha lá perto'}}",
"Corbelia pode contar comigo, assim como os estudantes da cidade, que agora vão poder se deslocar e frequentar aulas em Cascavel com mais segurança e conforto. Mais 350 mil reais para ajudar a Corbelia!",VALID,NULL,7,14h,False,507914afa278e4af,468,{},0,Elton Welter,profile: Elton Welter,2026-02-15T19:32:10.460,{},
"Tá aqui uma parceria que ajuda Ouro Verde do Oeste. Estive, junto com minha companheira Nelsi, ao lado do Prefeito Gugu e do vice-prefeito Lessandro, na abertura da Expo Ouro e da Festa do Peão, para prestigiar esse importante evento e celebrar o desenvolvimento econômico e social dessa importante cidade. Podem sempre contar comigo!",VALID,NULL,4,2d,False,c2a28901ce73dc9b,242,"{'#Carnaval', '#Soberania', '#Brasil', '#Agricultura'}",0,Elton Welter,profile: Elton Welter,2026-02-15T14:32:48.885,"{{'user_name': 'Odair Jahn', 'comment_text': 'Bora por uns sem terra aí?'}, {'user_name': 'Claudenir Ludvickak', 'comment_text': 'Odair Jahn\nboa pensé a msm coisa'}, {'user_name': 'Odair Jahn', 'comment_text': 'Odair Jahn\nboa pensé a msm coisa'}}",
"Um grande encontro com 
Requião Filho
, Paraná em Movimento! Estamos trabalhando pelo povo paranaense.",VALID,NULL,5,2d,False,c1b7d6dd692f532b,219,"{'#Paraná', '#AgriculturaFamiliar'}",0,Elton Welter,profile: Elton Welter,2026-02-15T14:33:09.647,"{{'user_name': 'Vanderlei Neujorks', 'comment_text': 'Bora lá os agricultores que tão contentes como eles falam, manda um joinha quantos estão feliz pra ver se e vdd oke falam?'}}",
"No Show Rural, nossa luta é por quem produz!
Estive em Cascavel no Show Rural 2026 para reafirmar meu compromisso com a agricultura familiar e os trabalhadores do campo. Como deputado e homem da agricultura, meu trabalho é garantir que a tecnologia chegue na ponta para quem realmente coloca a comida na nossa mesa.
#deputadowelter #showrural #showrural2026 #agriculturafamiliar",VALID,NULL,6,2d,False,b6996badca5578ea,201,{},0,Elton Welter,profile: Elton Welter,2026-02-15T14:33:34.910,"{{'user_name': 'Ivan Buche', 'comment_text': 'Porque esse praga não se mexe um pouco Em favor dos produtores de leite???'}}",
"Uma boa amizade pelo Paraná. Assim é a minha parceria com o 
Professor Lemos",VALID,https://www.facebook.com/DeputadoWelter/posts/pfbid0XzZ3Zf1oWnBx8oZqKsJQUPFfb6qQNyyQGaefv1cvXCmD5gADXLvJtiTp6difMW8Al,2,3d,False,c6be079bc90340ea,334,{},0,Elton Welter,profile: Elton Welter,2026-02-14T14:34:00.681,"{{'user_name': 'Rubens Rogerio Woinarovicz', 'comment_text': 'Acho que está na hora das crianças receberam abraços e os pais elogios...de 4 em 4 anos eles voltam ...uns amores ...que gente boa ...são uns amores ...temos os melhores e mais amorosos politicos do universo conhecido ....que felicidade ...uma graça ...'}}",
