post_query,message_channel_name,channel_title,post_id,telegram_post_id,message_user_id,date,text,post_validation_status,post_url,caption,message_views_count,message_forwards,message_reactions,message_reply_to,forward_from,message_entities,message_has_photo,message_has_video,message_has_document,post_author,message_edit_date,message_media_group_id
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1457,1793892291,-1001793892291,2026-02-09T17:24:59Z,"Um banho de América Latina no maior evento esportivo dos Estados Unidos. Assim foi o show histórico do rapper porto-riquenho **Bad Bunny** no intervalo do Super Bowl, a final do futebol americano. Foi político, foi entretenimento, foi coragem! Quando um artista latino pisa naquele palco e leva consigo nossas raízes, ele carrega muito mais que música.  Bunny mostrou que é importante nos indignarmos e não silenciarmos diante das desigualdades e violências.  Mostrou que América é território indígena, é Caribe, é cordilheira e floresta, é favela e campo, é espanhol, português, quéchua, guarani, crioulo. América é plural e é rebeldia que não cabe num único passaporte nem numa única bandeira. A única coisa mais poderosa que o ódio é o AMOR!  Seguimos! 📹: @nfl",FLAGGED,https://t.me/ANAagroecologia/1457,,40,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='🔥'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,[<telethon.tl.types.MessageEntityBold object at 0x0000021D3929AED0>],TRUE,FALSE,FALSE,,2026-02-09T20:47:04Z,"1,42E+32"
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1459,1793892291,-1001793892291,2026-02-10T13:39:23Z,"Os moradores das comunidades tradicionais Angelim, Sete Lagoas e Vão do Vico vivem da terra e das fontes d’água que cortam os municípios de Baixa Grande do Ribeiro e Santa Filomena, no sul do Piauí.   Há gerações, fazem roçados, criam animais, cobrem suas casas com a palha das palmeiras nativas. Seus modos de vida contrastam com o de Ricardo Faria, empresário brasileiro que entrou para a lista de bilionários da Forbes em 2024 e que está entre os maiores controladores de terras do Matopiba, para onde voa com seu jato particular.   Apelidado de “Rei do Ovo” pela mídia tradicional, onde aparece em fotos usando camisas claras, Faria fechou negócios de compra e arrendamento em várias fazendas que pressionam comunidades indígenas, ribeirinhas e brejeiras, territórios marcados por embargos ambientais e acusações de grilagem de terras coletivas.   Durante a investigação, o Joio identificou — por meio de processos judiciais, dados fundiários e georreferenciados, e relatórios de organizações de defesa de direitos humanos e territoriais — várias fazendas que apresentam indícios de estarem sob o controle de Ricardo Faria na região sul do Piauí.   Nesta reportagem, descrevemos os conflitos socioambientais encontrados em quatros delas: duas arrendadas e duas de propriedade das empresas das quais o empresário é sócio.  Leia a reportagem completa no site de O Joio e O Trigo: https://bit.ly/4ajwbnk",VALID,https://t.me/ANAagroecologia/1459,,41,0,,,,[<telethon.tl.types.MessageEntityUrl object at 0x0000021D3929B990>],TRUE,FALSE,FALSE,,2026-02-10T13:39:26Z,
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1460,1793892291,-1001793892291,2026-02-11T12:39:23Z,"​​Depois de 64 anos de luta, 21 famílias da Paraíba conquistaram o Assentamento Agroextrativista Elizabeth Teixeira, na Fazenda Barra das Antas. A regularização do território foi formalizada pelo Ministério do Desenvolvimento Agrário e Agricultura Familiar na quinta-feira (5). A área está localizada na fazenda Antas, entre os municípios de Sapé e Sobrado, Zona da Mata paraibana, e é berço das Ligas Camponesas na região.  Com 133,4 hectares, a entrega do assentamento é resultado de uma luta que se arrasta há mais de seis décadas. João Pedro Teixeira era um dos dirigentes das Ligas Camponesas no Sapé. Ele foi assassinado em 1962 e sua esposa, Elizabeth Teixeira, assumiu a liderança do movimento, lutando pela reforma agrária na região. Toda essa trajetória foi registrada no filme Cabra Marcado para Morrer, de Eduardo Coutinho, lançado em 1984.  Ao longo do tempo, o núcleo do Sapé das Ligas Camponesas, chegou a ter cerca de 10 mil integrantes. Elizabeth chegou a perder filhos e foi perseguida pela ditadura militar. Em 1964, teve sua casa incendiada e passou oito meses presa em um quartel do exército. Ao sair da prisão, ela continuou a ser vigiada pela ditadura e assim foi orientada por companheiros de luta a buscar exílio no Recife. Encontrada pela polícia em diversas casas onde tentava se refugiar, conseguiu se esconder no Rio Grande do Norte.  Leia a matéria completa de Lorenzo Santiago, do Brasil de Fato: https://bit.ly/4qr7fjA",VALID,https://t.me/ANAagroecologia/1460,,41,0,,,,[<telethon.tl.types.MessageEntityUrl object at 0x0000021D39298690>],TRUE,FALSE,FALSE,,2026-02-11T12:39:27Z,
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1461,1793892291,-1001793892291,2026-02-12T13:59:38Z,"Hoje é dia de #tbt e a gente aproveita para falar sobre arte! Sim, a poesia e o cordel são essenciais na cultura do semiárido brasileiro, servindo como ferramentas de resistência e expressão das lutas sociais! Eles preservam tradições e transmitem informações, conectando passado e presente.   A agroecologia está ligada a esse modo de vida, promovendo a sustentabilidade e respeitando a cultura local. Assim, poesia e agroecologia se entrelaçam, refletindo a identidade e a força das comunidades do semiárido.  Neste vídeo, o poeta Caio Meneses (@caio_meneses), autor do livro Política da Natureza, encontrou-se com Diego Eleonaldo, do MCP/SE (@diegxe), no último CBA. Juntos eles  nos ajudam a lembrar: poesia também é resistência!",VALID,https://t.me/ANAagroecologia/1461,,42,0,,,,"[<telethon.tl.types.MessageEntityHashtag object at 0x0000021D39299A50>, <telethon.tl.types.MessageEntityMention object at 0x0000021D39299F90>, <telethon.tl.types.MessageEntityMention object at 0x0000021D3929B410>]",FALSE,TRUE,TRUE,,2026-02-12T13:59:41Z,
canal:ANAagroecologia,ANAagroecologia,Articulação Nacional de Agroecologia,1462,1793892291,-1001793892291,2026-02-13T12:35:03Z,"**A rua é pública, mas o corpo da mulher NÃO.  ** Respeite! Neste Carnaval, e sempre, chega de assédio!  **Não é Não!**",FLAGGED,https://t.me/ANAagroecologia/1462,,39,0,,,,"[<telethon.tl.types.MessageEntityBold object at 0x0000021D392999D0>, <telethon.tl.types.MessageEntityBold object at 0x0000021D3929A910>]",TRUE,FALSE,FALSE,,2026-02-13T12:35:06Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1562,1274109799,-1001274109799,2026-02-09T12:35:17Z,"A mensagem de Bad Bunny ontem, no Super Bowl, foi histórica. Em um dos maiores palcos do mundo, ele reafirmou o orgulho e o pertencimento latino no momento em que isso mais importa.  No meio da maior audiência da TV norte-americana, ele encerrou a apresentação com a tradicional frase dos Estados Unidos: “Deus abençoe a América”  e, em seguida, citou todos os países do continente, enquanto as bandeiras entravam em campo.  Bad Bunny nos lembra que somos um continente plural, diverso e profundamente conectado por cultura, história e humanidade. E deixou um recado claro: a América somos todos nós.  Em tempos de intolerância, no display apareceu uma mensagem direta e necessária: “A única coisa mais poderosa que o ódio é o amor.”  E, como ele também disse no show: SEGUIMOS AQUI!",FLAGGED,https://t.me/reginaldolopesmg/1562,,11,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,,FALSE,TRUE,TRUE,,2026-02-09T13:22:00Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1563,1274109799,-1001274109799,2026-02-09T17:09:26Z,"Mais um passo para pôr fim à escravidão moderna da escala 6x1.  Agradeço ao presidente da Câmara, Hugo Motta, por tratar o tema com a importância devida e por apensar os projetos, somando forças para conquistar um sonho e um direito dos trabalhadores. Agora, o meu projeto e o da deputada Erika Hilton seguem para a CCJ e, depois, para a Comissão Especial. A pauta avançou, e isso importa.  Mas, para virar realidade, precisamos de mobilização social.  Descanso não é luxo. É direito. A tecnologia avançou, a produtividade cresceu, e esse ganho precisa chegar ao tempo de vida do trabalhador.  Trabalhador não é máquina. Gente exausta adoece, perde convívio, perde saúde, perde futuro.  E isso é bom para o país: equipe descansada produz mais, falta menos, atende melhor. Mais tempo livre também movimenta a economia e melhora a vida.  Eu estou do lado de quem trabalha. Você é a favor do fim da 6x1? Assine o nosso abaixo assinado  ➡️ https://reginaldolopes.com.br/seutempovalemais/",FLAGGED,https://t.me/reginaldolopesmg/1563,,10,0,,,,[<telethon.tl.types.MessageEntityUrl object at 0x0000021D392BCA50>],TRUE,FALSE,FALSE,,2026-02-09T17:09:30Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1564,1274109799,-1001274109799,2026-02-09T19:52:42Z,"Em 2026, a escala 6x1 começa a ficar no passado.  Quando a gente insiste, o impossível vira realidade. O fim da 6x1 está cada vez mais perto, a pauta trabalhista mais importante das últimas décadas.",FLAGGED,https://t.me/reginaldolopesmg/1564,,8,0,,,,,FALSE,TRUE,TRUE,,2026-02-09T19:52:45Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1565,1274109799,-1001274109799,2026-02-10T03:06:17Z,"Chegou a hora de o Brasil virar essa página: a escala 6x1 é escravidão moderna. Ela rouba tempo de vida, adoece gente e destrói o convívio.  Não existe país competitivo com trabalhador exausto. O caminho é avanço civilizatório com responsabilidade: reduzir a jornada, com transição organizada, diálogo e foco em produtividade. Gente descansada produz mais, falta menos, erra menos, atende melhor. E ganha o que mais importa: tempo para viver.  A indústria, na prática, já opera majoritariamente no 5x2. Falta a política garantir esse direito para quem mais sofre na ponta.  Trabalhador não é máquina. Descanso não é luxo. É direito.",FLAGGED,https://t.me/reginaldolopesmg/1565,,8,0,,,,,FALSE,TRUE,TRUE,,2026-02-10T03:06:20Z,
canal:reginaldolopesmg,reginaldolopesmg,Canal do Reginaldo Lopes,1566,1274109799,-1001274109799,2026-02-10T13:29:03Z,"A minha proposta tem um ponto central: ela organiza a transição. Eu não estou propondo uma mudança brusca sem planejamento. Eu estou propondo uma redução de jornada com previsibilidade, com regra e com tempo para adaptação, exatamente para proteger emprego, proteger a economia e transformar ganho de produtividade em tempo de vida para quem trabalha. E ela se soma a outras iniciativas que estão na Câmara e no Senado. O Brasil precisa de um novo pacto: trabalho digno, descanso como direito e produtividade para crescimento econômico.",FLAGGED,https://t.me/reginaldolopesmg/1566,,7,0,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=False, reactions_as_tags=False, recent_reactions=[], top_reactors=[])",,,,FALSE,TRUE,TRUE,,2026-02-10T18:35:56Z,
