post_original_id,video_transcription
7606750265068326151,MUSICA: Funk It Up
7606366669472107783,MUSICA: Brilho do Carnaval
7605927330447445269,MUSICA: Energetic Upbeat
7601223745579011344,"Alô Brasil! Os pagamentos de fevereiro começam hoje, dia 12, e terminam dia 27. Confira a tabela! Música"
7604837887275699457,"Eu sempre vi o Bolsa Família como uma mão que me ajuda, porém eu também preciso caminhar sozinha. É bom a gente ter o nosso trabalho de carteira assinada, poder receber tudo que eu tenho direito. E aí as coisas foram melhorando, como eles cresceram, conseguir arrumar um emprego, como auxiliar de limpeza. E aí foi onde eu entrei na regra de proteção. Saber que eu não vou ter aquele dinheiro, como eu sempre tive, às vezes me assusta. Dá aquele susto, a gente fica meio assustado. Ai, vai faltar isso, vai faltar aquilo. Fico um pouco preocupado. Lembra como tudo começou? O Bolsa Família sempre esteve do seu lado quando você mais precisou. E hoje você conquistou um emprego digno e melhorou de vida. Olha onde você chegou. Não vai ser agora que o programa vai deixar você sozinha. Olha, passou um filme na minha cabeça. Eu quero que os meus filhos aprendam a ter a determinação que eu tive. Eu espero muita coisa boa. Eu espero poder realizar todos os sonhos deles. Eu estou feliz, eu estou tranquila. Eu estou feliz com o trabalho que eu arrumei. E eu sei que vai dar tudo certo daqui pra frente. Regra de proteção do Bolsa Família. Mais autonomia e tranquilidade pra seguir em frente. Governo do Brasil. Do lado do povo brasileiro. biolos maravil Casteluma B zwei Outro Fi"
7604926143044619521,"Priscil, ei, você, já ouviu falar do programa Gás do Povo? É uma iniciativa do governo do Brasil pra garantir que a sua família tenha gás de cozinha em casa de forma totalmente gratuita. Quer saber mais sobre como funciona o programa? É muito fácil. Basta acessar o aplicativo Meu Social Gás do Povo. Vá na loja de aplicativos do seu celular, escreva na barra de busca Meu Social Gás do Povo e clique no ícone. Para acessar o aplicativo, entre com a sua conta gov.br. Nele você pode verificar a situação do seu vale, encontrar os pontos de revendas cadastradas e saber como você pode usar o seu vale. Viu só? Agora ficou mais fácil garantir a sua recarga do gás. Mas caso ainda fique alguma dúvida, fale com a Central de Atendimento do MDS pelo Disque Social 121. 121 é o governo do Brasil, do lado do povo brasileiro."
7607059142129306900,"Olha só, atenção, valendo conhecimento. Você sabe o que o mapa faz pelo agro? Pergunta número 1. Quantos novos mercados internacionais o Brasil abriu para o agro? E a resposta certa é... Mais de 500 mercados abertos. O salo vivo expandiu. Quantos assentamentos ele vai atender agora? A resposta correta é 32 assentamentos. Agora a pergunta número 3. Qual desses é um pilar do agro em 2026? Tempo na tela. Se você disse todas, você acertou. Agora a última pergunta. O Promac é um programa que ajuda o produtor rural com o quê? E a resposta é... Entrega de máquinas e equipamentos agrícolas. E aí, foi fácil ou foi difícil? Quem acertou tudo? Quem errou, mas aprendeu? Bota aqui nos comentários! Vários! Vários!"
7604942415295728904,E aí E aí
7606093618583014667,No Shopping BB você planeja sua viagem inteira em um só lugar. Aproveite as montagens e compre no Shopping BB. Banco do Brasil. Pra tudo que você imaginar.
7606678127699397895,"Poses para casais. Ah, não. Pra que complicar tanto? Bora na pose minha carteira. Compartilha tudo aqui no Epicaixa. É simples e fácil como o nosso amor. Olha aqui, ó."
7605978043475184917,"Quem nos julga que tem capacidade para tirar a nossa liberdade em última instância sem direito a defesa, que veste toga, tudo indica que está enrolado até o pescoço nessa grande quadrilha de falcatrua. Qualquer outro cidadão já estaria preso por fazer o que a mulher do Alexandre de Moraes e ele fizeram junto. Seu Toffoli fez junto o Toffolão, qualquer um estaria preso. Mas eles continuam manejando para lá e para cá, com navios em alto mar, fazendo verdadeiras festas. Esses imbecis achando que eles eram infocáveis, eles acharam que ninguém vai ficar sabendo disso. E lá por as tantas o Toffoli disse, não, fecha tudo isso, amarra com a fita e manda para mim, que ninguém fica sabendo. Ora, a Polícia Federal fez cópia de tudo isso, está largando conta-gotas em tudo que é lugar. E eles caindo os pedaços, como verdadeiras carniças, caindo os pedaços por todos os cantos. A República em frangalho."
7606428932929260807,"Gente, chegou aqui na Assembleia Legislativa a lei de reajuste do salário dos professores e professoras estaduais. Será 5,4% de reajuste? É o índice que o presidente Lula estabeleceu por medida provisória para o piso profissional do magistério. Eduardo Leite manda o mesmo valor para cá, porém aplicando mais uma vez a fórmula perversa de usar parte dos salários dos professores que já tinham carreira e das professoras para pagar o reajuste. E para mentir que paga o piso integralmente. Mas deixa fora um grande número de aposentados e aposentadas e os funcionários e funcionárias de escola. É uma boa notícia porque o presidente Lula está atento à educação. Mas seguimos na luta junto com o CPES Sindicato, junto com a categoria. Tanto para que todos e todas sejam reajustados, inclusive quem dedicou a vida à educação, os aposentados e aposentadas. Quanto funcionários de escola, mas também denunciando o achatamento da carreira. Que retira o estímulo à carreira, os ganhos para quem chega na aposentadoria, para quem chega com um salário digno. Mas é isso aí. Lula valoriza a educação e faz com que Eduardo Leite mande um reajuste acima da inflação para o magistério. E nós vamos aprovar ali no inicinho de março. O que é a questão das quatro? O que é a questão das quatro?"
7606080704446876929,"Marco Legal do Transporte Público Coletivo, para nós termos uma mobilidade urbana, planejada, bem organizada e de acesso à população, a população que mais precisa do transporte público. E para isso nós precisamos fazer um debate além desse processo do Marco Legal. Nós estamos aqui introduzindo um debate sobre a tarifa zero. A tarifa zero é um debate que é uma exigência da sociedade para que a gente possa, de fato, ofertar para aqueles que precisam se deslocar um serviço de qualidade com custo zero. Então nós queremos sim, além do debate do Marco Legal, iniciar um debate e temos por parte do Partido dos Trabalhadores a definição nossa deste ano levarmos adiante"
7605979890470391057,"Eu entrei no pacto proposto por Lula, por isso vou sim falar muito de violência contra mulher, ao menos até que esse horror acabe. Essa briga também é dos homens. Mas, bom gás, é carnaval. Mas é por isso mesmo, gente. Carnaval é festa linda, mas também é quando se registram muitos casos de importunação sexual e assédio. O Ministério das Mulheres botou o bloco na rua com a campanha Se Liga ou Eu Ligo 180. Se você presenciar uma situação de violência, faça a sua parte, ajude e denuncie. Beijo forçado ou qualquer toque sem consentimento no corpo da mulher são crimes. Isso é importunação. A sociedade não deve se calar diante dessa violência. Então, se alguém passar do ponto, o recado é direto. Se Liga ou Eu Ligo 180. Não é não. Ninguém tem o direito de forçar a barra. E o carnaval não é a desculpa. Boa festa pra todo mundo. Lembrando, alegria também exige respeito."
7605966892725030161,"Esse tema dos carros-pipas, nós estamos falando de todos os temas de sinistralidades que nós temos no país. Enchentes, secas, preparação da defesa civil para realmente ajudar. O governo do presidente Lula tem feito isso, tanto no sul, no norte, no nordeste, no sudeste, todos os lugares onde teve problemas, colocando a equipe estruturada da defesa civil para, de fato, junto com políticas dos governos estaduais e municipais, poder ajudar aqueles que precisam por causa das sinistralidades. E essa preocupação climática que nós temos, nós estamos no pior momento da crise climática. Nós vamos sofrer mais ainda, porque, infelizmente, o meio ambiente está sendo desrespeitado. E as consequências estão aí, cada vez mais sinistros. Então, é importante que a gente possa ter amparo legal para que se socorra, efetivamente, as comunidades que são atingidas por sinistralidades. Então, a nossa orientação é sim, presidente."
7605288997643898129,"povo português deu um chega pra lá, não chega. O Chega é o partido da extrema direita fascista xenófobo de Portugal. Perdeu a eleição. E eles fazem de conta como se eles fossem contra o sistema, anti-sistema. Mas eles se sustentam no sistema, negando as instituições, sendo autoritários, inclusive muito discriminatórios com os migrantes. Aliás, ele fez uma frase que se ele ganhasse a eleição, ele não deixaria o Lula entrar em Portugal. Pois saiba que o Lula vai entrar em Portugal, vai melhorar as relações com Portugal, porque lá e aqui se elegeram presidentes democráticos. E o Lula, com essa democracia que ganhou pelo voto popular, votará sim e continuará sendo nosso presidente democrático."
7605291066324962561,"Para nós irmos mais longe na nossa luta democrática e socialista, nós precisamos mudar esse Congresso Nacional. Votou no Lula, votem senador do Lula! Votou no Lula, votem deputado do Lula! Votou no Lula, votem governador do Lula! Porque nós queremos ir mais longe para fazer as reestatizações que esse Brasil precisa, acabar com as matérias maléficas que o golpe impôs, que foram as reformas trabalhistas sobre o mundo do trabalho. Este é o nosso PT, estes são os 46 anos, este é o nosso vigor e só iremos mais longe para o socialismo e a democracia se mudarmos esse Congresso, muita organização popular e o Lula protetra sim! Um grande abraço, pessoal!"
